접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),층,건축년도,건물용도,계약년도,계약월,면적당매매가,평당매매가,거래량,주소,위도,경도
2015,11470,양천구,10100,신정동,1,대지,1323,0,목동힐스테이트,2015-12-08,69572,84.98,5.0,0.0,아파트,2015,12,818.69,247.65,1,양천구 신정동 1323,37.5203058,126.8564578
2015,11740,강동구,10800,성내동,1,대지,410,21,여흥빌라,2015-03-21,18500,40.22,2.0,1993.0,연립다세대,2015,3,459.97,139.14,1,강동구 성내동 410-21,37.5300926,127.1338544
2015,11740,강동구,10200,고덕동,1,대지,312,0,배재현대,2015-02-13,38000,59.94,10.0,1995.0,아파트,2015,2,633.97,191.78,1,강동구 고덕동 312,37.556517,127.1521973
2018,11650,서초구,10100,방배동,1,대지,918,12,(918-12),2018-02-22,49700,70.1,1.0,1988.0,연립다세대,2018,2,708.99,214.47,1,서초구 방배동 918-12,37.4814349,126.9934883
2015,11410,서대문구,11100,홍제동,1,대지,454,0,유원하나,2015-01-15,35000,112.14,12.0,1996.0,아파트,2015,1,312.11,94.41,1,서대문구 홍제동 454,37.5950984,126.9523644
2015,11410,서대문구,12000,남가좌동,1,대지,124,0,DMC가재울4구역,2015-06-23,69630,120.49,9.0,0.0,아파트,2015,6,577.89,174.81,1,서대문구 남가좌동 124,37.5708806,126.9195039
2020,11140,중구,16200,신당동,1,대지,851,0,래미안하이베르,2019-11-29,98200,84.97,8.0,2011.0,아파트,2019,11,1155.7,349.6,1,중구 신당동 851,37.5616188,127.0227206
2022,11560,영등포구,11500,당산동5가,1,대지,9,3,당산역해링턴타워,2022-01-12,23000,26.22,17.0,2015.0,오피스텔,2022,1,877.19,265.35,1,영등포구 당산동5가 9-3,37.5327761,126.9001046
2014,11680,강남구,11400,일원동,1,대지,716,0,목련타운,2014-01-23,110500,134.71,6.0,1993.0,아파트,2014,1,820.28,248.13,1,강남구 일원동 716,37.4848508,127.085277
2014,11500,강서구,10300,화곡동,1,대지,1091,0,화곡푸르지오,2014-09-06,50000,104.75,9.0,2002.0,아파트,2014,9,477.33,144.39,1,강서구 화곡동 1091,37.5446216,126.8314429
2020,11500,강서구,10500,마곡동,1,대지,725,1,마곡힐스테이트,2020-07-25,92500,59.99,2.0,2017.0,아파트,2020,7,1541.92,466.43,1,강서구 마곡동 725-1,37.5640306,126.817834
2016,11545,금천구,10200,독산동,1,대지,378,480,보린주택3호,2016-02-26,11000,21.49,2.0,2016.0,연립다세대,2016,2,511.87,154.84,1,금천구 독산동 378-480,37.46344210000001,126.9045433
2022,11710,송파구,11400,마천동,1,대지,18,13,한두리빌,2022-01-28,21500,30.75,6.0,2013.0,연립다세대,2022,1,699.19,211.5,1,송파구 마천동 18-13,37.5013424,127.1433365
2011,11230,동대문구,10900,휘경동,1,대지,57,0,주공2,2011-01-03,16500,39.97,6.0,2001.0,아파트,2011,1,412.81,124.87,1,동대문구 휘경동 57,37.5829867,127.0707472
2014,11200,성동구,11200,금호동4가,1,대지,1507,0,브라운스톤금호,2014-10-03,53000,84.84,15.0,2007.0,아파트,2014,10,624.71,188.97,1,성동구 금호동4가 1507,37.5467435,127.01566
2022,11260,중랑구,10100,면목동,1,대지,1143,0,해오름아트빌,2022-04-19,27600,30.24,2.0,2013.0,연립다세대,2022,4,912.7,276.09,1,중랑구 면목동 1143,37.5873,127.0902679
2018,11140,중구,16200,신당동,1,대지,844,0,남산타운,2018-01-23,64950,84.88,1.0,2002.0,아파트,2018,1,765.2,231.47,1,중구 신당동 844,37.5490132,127.0092806
2019,11590,동작구,10700,사당동,1,대지,180,27,(180-27),2019-05-20,22000,51.78,2.0,1986.0,연립다세대,2019,5,424.87,128.52,1,동작구 사당동 180-27,37.4912741,126.9693666
2018,11680,강남구,11800,도곡동,1,대지,527,0,도곡렉슬,2017-11-30,238000,134.9,6.0,2006.0,아파트,2017,11,1764.27,533.69,1,강남구 도곡동 527,37.4935415,127.0505473
2016,11290,성북구,13800,장위동,1,대지,230,132,장위에스하임1[2동],2016-12-26,13000,29.96,4.0,2016.0,연립다세대,2016,12,433.91,131.26,1,성북구 장위동 230-132,37.6151564,127.0432657
2019,11680,강남구,10100,역삼동,1,대지,755,4,e-편한세상,2019-10-21,206000,84.99,4.0,2005.0,아파트,2019,10,2423.81,733.2,1,강남구 역삼동 755-4,37.4987773,127.0498786
2019,11110,종로구,11500,사직동,1,대지,9,0,광화문풍림스페이스본(101동~105동),2019-01-30,119000,147.31,1.0,2008.0,아파트,2019,1,807.82,244.37,1,종로구 사직동 9,37.5744169,126.9688811
2016,11500,강서구,10300,화곡동,1,대지,1139,0,초록,2016-06-06,45500,84.07,7.0,1998.0,아파트,2016,6,541.22,163.72,1,강서구 화곡동 1139,37.545684,126.8336232
2016,11650,서초구,10100,방배동,1,대지,539,170,덕진빌라(539-170),2016-08-27,35000,36.41,1.0,1987.0,연립다세대,2016,8,961.27,290.79,1,서초구 방배동 539-170,37.4774898,126.9935305
2017,11290,성북구,13300,정릉동,1,대지,226,34,해오름빌라트,2017-03-06,20500,72.38,2.0,2009.0,연립다세대,2017,3,283.23,85.68,1,성북구 정릉동 226-34,37.610168,127.0122947
2019,11500,강서구,10400,가양동,1,대지,1461,0,가양2단지(성지),2019-11-07,40500,39.6,7.0,1992.0,아파트,2019,11,1022.73,309.37,1,강서구 가양동 1461,37.5704953,126.8471746
2017,11710,송파구,10200,신천동,1,대지,11,0,장미3,2017-07-04,135800,134.16,5.0,1984.0,아파트,2017,7,1012.22,306.2,1,송파구 신천동 11,37.5200302,127.1026164
2018,11350,노원구,10500,상계동,1,대지,1276,0,청암2단지,2018-08-08,28000,49.77,13.0,2001.0,아파트,2018,8,562.59,170.18,1,노원구 상계동 1276,37.6631536,127.0785681
2012,11470,양천구,10300,신월동,1,대지,350,3,우정,2012-11-30,13000,70.07,3.0,1988.0,아파트,2012,11,185.53,56.12,1,양천구 신월동 350-3,37.52253990000001,126.8289764
2015,11380,은평구,10500,구산동,1,대지,9,35,효진주택(9-35),2015-08-04,16000,53.78,4.0,1995.0,연립다세대,2015,8,297.51,90.0,1,은평구 구산동 9-35,37.61083319999999,126.912922
2017,11380,은평구,10400,갈현동,1,대지,300,94,(300-94),2017-06-28,17300,38.38,-1.0,1986.0,연립다세대,2017,6,450.76,136.35,1,은평구 갈현동 300-94,37.6275341,126.9136324
