접수년도,자치구코드,자치구명,법정동코드,법정동명,지번구분코드,지번구분,본번,부번,층,계약일,전월세구분,임대면적,보증금(만원),임대료(만원),건물명,건축년도,건물용도,주소,위도,경도,제곱미터당전세가,평당전세가
2018,11650,서초구,10300,우면동,1,대지,70,0,4.0,20180524,전세,52.47,38000,0,코오롱,1994.0,아파트,서초구 우면동 70,37.4725954,127.0276571,724.22,219.08
2013,11380,은평구,11000,증산동,1,대지,193,1,6.0,20131017,전세,83.31,21000,0,자선메르시안(193),2003.0,아파트,은평구 증산동 193-1,37.5876221,126.9095585,252.07,76.25
2013,11740,강동구,10200,고덕동,1,대지,212,0,4.0,20130218,전세,48.6,10000,0,주공2,1982.0,아파트,강동구 고덕동 212,37.5638217,127.1582312,205.76,62.24
2022,11590,동작구,10900,신대방동,1,대지,686,48,6.0,20220502,전세,84.95,69000,0,동작협성휴포레시그니처,2022.0,아파트,동작구 신대방동 686-48,37.4862684,126.9053069,812.24,245.7
2017,11545,금천구,10100,가산동,1,대지,238,55,3.0,20170113,전세,29.97,10000,0,세움아트빌3차 A동,2016.0,오피스텔,금천구 가산동 238-55,37.472854,126.8874192,333.67,100.93
2021,11680,강남구,10800,논현동,1,대지,22,0,7.0,20210507,전세,35.73,40000,0,신동아(22),1997.0,아파트,강남구 논현동 22,37.5147153,127.0226688,1119.51,338.65
2012,11470,양천구,10200,목동,1,대지,750,5,11.0,20121017,전세,84.2,26000,0,월드메르디앙,2001.0,아파트,양천구 목동 750-5,37.5393924,126.8698522,308.79,93.41
2015,11740,강동구,10500,길동,1,대지,392,9,1.0,20150905,전세,59.79,25000,0,"송강하이츠(다,라)",2007.0,연립다세대,강동구 길동 392-9,37.5381833,127.1417407,418.13,126.48
2015,11500,강서구,10500,마곡동,1,대지,784,0,7.0,20151003,월세,17.96,500,45,마곡경동미르웰,2015.0,오피스텔,강서구 마곡동 784,37.566206,126.8402258,27.84,8.42
2014,11440,마포구,11100,신수동,1,대지,453,0,12.0,20141205,전세,117.18,44000,0,대원칸타빌,2004.0,아파트,마포구 신수동 453,37.5480837,126.9336587,375.49,113.59
2018,11500,강서구,10300,화곡동,1,대지,451,15,2.0,20180103,전세,36.69,16000,0,다솜,2012.0,연립다세대,강서구 화곡동 451-15,37.5328095,126.8515185,436.09,131.92
2021,11500,강서구,10100,염창동,1,대지,261,12,2.0,20210617,전세,16.31,13400,0,그린뷰,2018.0,오피스텔,강서구 염창동 261-12,37.5482573,126.8768393,821.58,248.53
2014,11710,송파구,11100,방이동,1,대지,161,6,3.0,20140114,전세,15.08,6000,0,청암빌라트,2002.0,연립다세대,송파구 방이동 161-6,37.51218,127.1204055,397.88,120.36
2021,11710,송파구,10600,삼전동,1,대지,27,10,4.0,20210918,월세,38.45,1000,80,(27-10),2002.0,연립다세대,송파구 삼전동 27-10,37.5065377,127.0933879,26.01,7.87
2022,11710,송파구,10100,잠실동,1,대지,22,0,25.0,20220920,전세,84.99,130000,0,리센츠,2008.0,아파트,송파구 잠실동 22,37.5140588,127.0884544,1529.59,462.7
2018,11710,송파구,10900,장지동,1,대지,879,0,14.0,20181227,전세,59.73,48000,0,송파더센트레,2013.0,아파트,송파구 장지동 879,37.479192,127.1401365,803.62,243.09
2013,11440,마포구,12500,성산동,1,대지,217,11,4.0,20131112,전세,59.94,15000,0,글로리아빌,2002.0,연립다세대,마포구 성산동 217-11,37.56148590000001,126.9085896,250.25,75.7
2016,11560,영등포구,11000,여의도동,1,대지,32,0,12.0,20160521,월세,74.55,2000,115,수정,1976.0,아파트,영등포구 여의도동 32,37.5230737,126.9308342,26.83,8.12
